행정구역별,2021,Unnamed: 2,Unnamed: 3,2022,Unnamed: 5,Unnamed: 6,2023,Unnamed: 8,Unnamed: 9
,경찰공무원 1인당 담당주민수(A÷B),주민등록인구(A),경찰공무원 정원(B),경찰공무원 1인당 담당주민수(A÷B),주민등록인구(A),경찰공무원 정원(B),경찰공무원 1인당 담당주민수(A÷B),주민등록인구(A),경찰공무원 정원(B)
전국,405.8,51638809,127243,398,51439038,129257,397,51325329,129288
서울특별시,318.1,9509458,29892,306.1,9428372,30797,306.3,9386034,30646
부산광역시,360,3350380,9307,350.1,3317812,9477,347,3293362,9492
대구광역시,404.7,2385412,5894,399.3,2363691,5919,401.5,2374960,5915
인천광역시,441.8,2948375,6673,442,2967314,6714,444.8,2997410,6739
광주광역시,404,1441611,3568,401,1431050,3569,398.9,1419237,3558
대전광역시,430.9,1452251,3370,429.1,1446072,3370,438.8,1442216,3287
울산광역시,403.7,1121592,2778,399.7,1110663,2779,394.3,1103661,2799
세종특별자치시,479.2,371895,776,483.7,383591,793,446.8,386525,865
경기도,550,13565450,24663,546.4,13589432,24873,546.3,13630821,24952
강원특별자치도,340.1,1538492,4524,330.2,1536498,4653,327.2,1527807,4670
충청북도,416.6,1597427,3834,412.4,1595058,3868,409.8,1593469,3888
충청남도,434.5,2119257,4878,419.2,2123037,5065,421.3,2130119,5056
전북특별자치도,347.8,1786855,5138,343.1,1769607,5158,340,1754757,5161
전라남도,320.1,1832803,5726,312.1,1817697,5825,309.8,1804217,5824
경상북도,382.6,2626609,6866,373.4,2600492,6964,366.3,2554324,6973
경상남도,454.6,3314183,7291,445.9,3280493,7357,440.7,3251158,7377
제주특별자치도,327.7,676759,2065,326.7,678159,2076,323.7,675252,2086
