"행정구역(시군구)별",2025.08,2025.08,2025.08,2025.09,2025.09,2025.09,2025.10,2025.10,2025.10
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51154981,25459789,25695192,51149546,25455867,25693679,51143421,25451723,25691698
"서울특별시",9321863,4494474,4827389,9318500,4491997,4826503,9313532,4489067,4824465
"부산광역시",3249975,1580238,1669737,3248359,1579327,1669032,3246304,1578085,1668219
"대구광역시",2356667,1154753,1201914,2356372,1154611,1201761,2355677,1154160,1201517
"인천광역시",3043162,1520100,1523062,3046754,1521985,1524769,3049315,1523210,1526105
"광주광역시",1397772,689731,708041,1397122,689326,707796,1395869,688690,707179
"대전광역시",1441596,718458,723138,1442228,718760,723468,1442046,718579,723467
"울산광역시",1092989,563014,529975,1092634,562946,529688,1092797,563285,529512
"세종특별자치시",391984,195152,196832,392230,195235,196995,392406,195359,197047
"경기도",13720015,6891841,6828174,13721178,6891911,6829267,13724652,6893167,6831485
"강원특별자치도",1509670,759037,750633,1509396,758966,750430,1509064,758837,750227
"충청북도",1591965,811165,780800,1592431,811457,780974,1592916,811762,781154
"충청남도",2136195,1096586,1039609,2136551,1096785,1039766,2136678,1096883,1039795
"전북특별자치도",1728330,861131,867199,1727716,860760,866956,1726914,860355,866559
"전라남도",1780646,899345,881301,1779599,898858,880741,1779263,898708,880555
"경상북도",2514198,1272463,1241735,2512441,1271548,1240893,2510859,1270741,1240118
"경상남도",3212001,1619626,1592375,3210425,1618878,1591547,3209853,1618503,1591350
"제주특별자치도",665953,332675,333278,665610,332517,333093,665276,332332,332944
